,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. Raghu,"MBBS, MD - Tuberculosis and Chest Diseases",18 Years Experience Overall  (12 years as specialist),Pulmonologist,"Jayanagar 9 Block, Bangalore",Bangalore,100%,(12 votes),₹750
1,Dr. R.Chaitanya Sravanthi,"MBBS, MD - Pulmonary Medicine, DNB - Respiratory Diseases",13 Years Experience Overall  (9 years as specialist),Pulmonologist,"Bannerghatta Road, Bangalore",Bangalore,96%,(54 votes),₹800
2,Dr. Shivaraj A L,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",12 Years Experience Overall  (11 years as specialist),Pulmonologist,"Whitefield, Bangalore",Bangalore,97%,(79 votes),₹850
3,Dr. M.B. Rajashekar,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",48 Years Experience Overall  (30 years as specialist),Pulmonologist,"Banashankari 3rd Stage, Bangalore",Bangalore,59%,(70 votes),₹500
4,Dr. Huzefa Suratwala  Ismail,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - General Medicine",23 Years Experience Overall  (20 years as specialist),Pulmonologist,"AECS Layout, Bangalore",Bangalore,86%,(86 votes),₹600
5,Dr. Samskruti V,"MBBS, MD - Respiratory Medicine",7 Years Experience Overall  (3 years as specialist),Pulmonologist,"Jayanagar 4 Block, Bangalore",Bangalore,0,0,₹600
6,Dr. Praveen Kumar B S,"MBBS, MD - Pulmonary Medicine",15 Years Experience Overall  (9 years as specialist),Pulmonologist,"Kammana Halli, Bangalore",Bangalore,0,0,₹750
7,Dr. Srivatsa Lokeshwaran,"MD - Pulmonary Medicine, FCCP - Pulmonary Medicine, MBBS",14 Years Experience Overall  (9 years as specialist),Pulmonologist,"Hebbal, Bangalore",Bangalore,97%,(242 votes),₹900
8,Dr. Hirennappa B. Udnur,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",19 Years Experience Overall  (15 years as specialist),Pulmonologist,"Hebbal, Bangalore",Bangalore,95%,(513 votes),₹800
9,Dr. Ramesh B.R.,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",30 Years Experience Overall,Pulmonologist,"Yeshwanthpur, Bangalore",Bangalore,96%,(107 votes),₹750
10,Dr. Guruprasad Bhat. S,"MBBS, MD - Pulmonary Medicine",24 Years Experience Overall  (22 years as specialist),Pulmonologist,"Old Airport Road, Bangalore",Bangalore,94%,(109 votes),₹900
11,Dr. Amruth Sindhu,"MBBS, DNB - Respiratory Diseases",16 Years Experience Overall  (9 years as specialist),Pulmonologist,"Hebbal Kempapura, Bangalore",Bangalore,90%,(102 votes),₹700
12,Dr. K S Satish,"MBBS, MD - Medicine, MRCP (UK)",37 Years Experience Overall  (32 years as specialist),Pulmonologist,"Cunningham Road, Bangalore",Bangalore,89%,(155 votes),₹1000
13,Dr. Sandeep H S,"MBBS, MD - Pulmonary Medicine, DM - Pulmonary Medicine & Critical Care Medicine",11 Years Experience Overall  (9 years as specialist),Pulmonologist,"Kengeri, Bangalore",Bangalore,71%,(14 votes),₹700
14,Dr. Vishwanath V Bellad,"MBBS, DNB - Respiratory Diseases",28 Years Experience Overall  (18 years as specialist),Pulmonologist,"Kengeri, Bangalore",Bangalore,96%,(78 votes),₹700
15,Dr. Vasunethra Kasargod,"MBBS, MD - Pulmonary Medicine",12 Years Experience Overall  (7 years as specialist),Pulmonologist,"Kalyan Nagar, Bangalore",Bangalore,99%,(653 votes),₹700
16,Dr. Vandana D.Prabhu,"Diploma in Tuberculosis and Chest Diseases (DTCD), FCCP - Pulmonary Medicine, MBBS",24 Years Experience Overall,Pulmonologist,"HSR Layout, Bangalore",Bangalore,81%,(73 votes),₹700
17,Dr. Koushik N S,"MBBS, DNB - Pulmonary Medicine",21 Years Experience Overall  (8 years as specialist),Pulmonologist,"Yeshwanthpur, Bangalore",Bangalore,91%,(58 votes),₹750
18,Dr. H B Chandrashekar,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",39 Years Experience Overall,Pulmonologist,"Malleswaram, Bangalore",Bangalore,94%,(280 votes),₹750
19,Dr. Padma Sundaram,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",31 Years Experience Overall  (27 years as specialist),Pulmonologist,"Old Airport Road, Bangalore",Bangalore,70%,(74 votes),₹900
20,Dr. Satyanarayana Mysore,"MBBS, DNB - General Medicine, FRACP (Respiratory Medicine & Sleep Medicine), FCCP - Pulmonary Medicine",29 Years Experience Overall  (8 years as specialist),Pulmonologist,"Old Airport Road, Bangalore",Bangalore,79%,(33 votes),₹900
21,Dr. Sumant Mantri,"MBBS, DNB - Respiratory Diseases",26 Years Experience Overall  (19 years as specialist),Pulmonologist,"Bannerghatta Road, Bangalore",Bangalore,60%,(15 votes),₹1000
22,Dr. Sunil Kumar K,"MBBS, MD - General Medicine, DM - Pulmonary Medicine",19 Years Experience Overall  (8 years as specialist),Pulmonologist,"Hebbal, Bangalore",Bangalore,82%,(34 votes),₹900
23,Dr. Divya Shree J,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",5 Years Experience Overall,Pulmonologist,"Jayanagar 9 Block, Bangalore",Bangalore,0,0,₹750
24,Dr. Sudharshan K S,"MBBS, DNB - Pulmonary Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",12 Years Experience Overall  (9 years as specialist),Pulmonologist,"Cunningham Road, Bangalore",Bangalore,95%,(22 votes),₹1000
25,Dr. Mohammed Attaullah Khan S,"MBBS, DNB - Respiratory Diseases, Diploma in Tuberculosis and Chest Diseases (DTCD)",23 Years Experience Overall  (18 years as specialist),Pulmonologist,"Hebbal, Bangalore",Bangalore,0,0,₹800
26,Dr. Huliraj N,"MBBS, DNB - Pulmonary Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",32 Years Experience Overall,Pulmonologist,"Ashoknagar, Bangalore",Bangalore,79%,(19 votes),₹800
27,Dr. Bhimasena Rao,"MBBS, DNB - Respiratory Diseases",27 Years Experience Overall  (11 years as specialist),Pulmonologist,"Cunningham Road, Bangalore",Bangalore,100%,(24 votes),₹1000
28,Dr. Arjunsa H Satapute,"MBBS, MD - Pulmonary Medicine",14 Years Experience Overall  (9 years as specialist),Pulmonologist,"Sarjapur Road, Bangalore",Bangalore,89%,(37 votes),₹700
29,Dr. P Jagadeesh Kumar,"MBBS, MD - Pulmonary Medicine",8 Years Experience Overall,Pulmonologist,"Seshadripuram, Bangalore",Bangalore,0,0,₹740
30,Dr. Pavan Yadav M V,"MBBS, MD - Pulmonary Medicine",14 Years Experience Overall  (9 years as specialist),Pulmonologist,"JP Nagar, Bangalore",Bangalore,93%,(29 votes),₹1000
31,Dr. Deepak Kumar R,"MBBS, DNB - Tuberculosis & Respiratory Diseases/Pulmonary Medicine, DM - Pulmonary Medicine",18 Years Experience Overall  (9 years as specialist),Pulmonologist,"Ashoknagar, Bangalore",Bangalore,0,0,₹800
32,Dr. Vishwa Vijeth,"MBBS, MD - Pulmonary Medicine",8 Years Experience Overall  (3 years as specialist),Pulmonologist,"HSR Layout, Bangalore",Bangalore,100%,(68 votes),₹99
33,Dr. Ganesh Pratap,"Diploma in Tuberculosis and Chest Diseases (DTCD), MBBS, DNB - Tuberculosis & Respiratory Diseases/Pulmonary Medicine",10 Years Experience Overall  (6 years as specialist),Pulmonologist,"Nagasandra, Bangalore",Bangalore,0,0,₹600
34,Dr. Rohan R Naick,"MBBS, MD - TB & Chest",11 Years Experience Overall  (6 years as specialist),Pulmonologist,"Yeshwanthpur, Bangalore",Bangalore,99%,(129 votes),₹700
35,Dr. Shivalinga swamy Salimath,"MBBS, MD - Respiratory Medicine",7 Years Experience Overall,Pulmonologist,"Sampangiramnagar, Bangalore",Bangalore,100%,(17 votes),₹800
36,Dr. Amol Anilrao Ashtekar,"MBBS, DNB - Pulmonary Medicine",12 Years Experience Overall  (8 years as specialist),Pulmonologist,"Koramangala 5 Block, Bangalore",Bangalore,0,0,₹600
37,Dr. Gummadi Anish Reddy,"MD - Tuberculosis & Respiratory Diseases/Medicine, MBBS",8 Years Experience Overall  (4 years as specialist),Pulmonologist,"Kundalahalli, Bangalore",Bangalore,0,0,₹600
38,Dr. Suhas H S,"MBBS, MD - Respiratory Medicine, DNB - Tuberculosis & Respiratory Diseases/Pulmonary Medicine",7 Years Experience Overall  (4 years as specialist),Pulmonologist,"Sarjapur Road, Bangalore",Bangalore,0,0,₹700
39,Dr. Adimalla Raja Kumar,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",6 Years Experience Overall  (1 year as specialist),Pulmonologist,"Kundalahalli, Bangalore",Bangalore,0,0,₹750
40,Dr. Milind Kulkarni,"MBBS, Diploma in Tuberculosis Diseases (TDD)",17 Years Experience Overall  (15 years as specialist),Pulmonologist,"Vishrantwadi, Pune",Pune,96%,(200 votes),₹600
41,Dr. Kunjir Nana Gokul,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",16 Years Experience Overall  (9 years as specialist),Pulmonologist,"Hadapsar, Pune",Pune,94%,(36 votes),₹800
42,Dr. Anup Bhoyar,"MBBS, MD - Respiratory Medicine",12 Years Experience Overall  (5 years as specialist),Pulmonologist,"Deccan Gymkhana, Pune",Pune,95%,(44 votes),₹800
43,Dr. Rahul Chavan,"MBBS, Diploma in Tuberculosis Diseases (TDD), Diploma in Tuberculosis and Chest Diseases (DTCD)",15 Years Experience Overall  (8 years as specialist),Pulmonologist,"Baner, Pune",Pune,94%,(81 votes),₹700
44,Dr. Anand Yannawar,"DNB - Tuberculosis & Respiratory Diseases/Pulmonary Medicine, MBBS",18 Years Experience Overall  (9 years as specialist),Pulmonologist,"Pimple Saudagar, Pune",Pune,95%,(83 votes),₹700
45,Dr. Anjali Khalane,"DNB - Respiratory Diseases, MBBS",19 Years Experience Overall  (12 years as specialist),Pulmonologist,"Pimple Saudagar, Pune",Pune,92%,(204 votes),₹700
46,Dr. M S Barthwal,"MD - General Medicine, DM - Pulmonary Medicine, MBBS",39 Years Experience Overall  (25 years as specialist),Pulmonologist,"Undri, Pune",Pune,98%,(196 votes),₹2000
47,Dr. Mahavir Bagrecha,"MBBS, MD - Pulmonary Medicine",14 Years Experience Overall  (8 years as specialist),Pulmonologist,"Pimpri-Chinchwad, Pune",Pune,97%,(79 votes),₹500
48,Dr. Vaibhav D. Pandharkar,"MBBS, DNB - Tuberculosis & Respiratory Diseases/Pulmonary Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",19 Years Experience Overall  (13 years as specialist),Pulmonologist,"Kharadi, Pune",Pune,94%,(72 votes),₹900
49,Dr. Prafull Warghane,"MBBS, Diploma in Tuberculosis Diseases (TDD)",19 Years Experience Overall  (18 years as specialist),Pulmonologist,"Wakad, Pune",Pune,94%,(36 votes),₹800
50,Dr. Yogesh Agrawal,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",19 Years Experience Overall  (15 years as specialist),Pulmonologist,"Wakad, Pune",Pune,77%,(81 votes),₹900
51,Dr. Manoj Pawar,"MBBS, DNB - Respiratory Medicine",6 Years Experience Overall,Pulmonologist,"Kharadi, Pune",Pune,0,0,₹600
52,Dr. Ashok  Rajput,"MD - Tuberculosis & Respiratory Diseases/Medicine, MD - General Medicine, DNB - Respiratory Diseases, Diploma in Tuberculosis and Chest Diseases (DTCD), MBBS",45 Years Experience Overall  (41 years as specialist),Pulmonologist,"Vasant Kunj, Delhi",Delhi,95%,(563 votes),₹1200
53,Dr. Kailash Nath Gupta,"MD - Physician, DNB - Respiratory Diseases",27 Years Experience Overall  (17 years as specialist),Pulmonologist,"Dwarka, Delhi",Delhi,94%,(608 votes),₹800
54,Dr. Anuj Gupta,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",23 Years Experience Overall  (20 years as specialist),Pulmonologist,"Munirka, Delhi",Delhi,97%,(1069 votes),₹1250
55,Dr. Santosh Jha,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",11 Years Experience Overall  (9 years as specialist),Pulmonologist,"Malviya Nagar, Delhi",Delhi,99%,(205 votes),₹1000
56,Dr. Anil Kumar Jain,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), Diploma in Child Health (DCH)",34 Years Experience Overall  (32 years as specialist),Pulmonologist,"Vishwas Nagar, Delhi",Delhi,90%,(39 votes),₹1000
57,Dr. Vikas Mittal,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",21 Years Experience Overall  (16 years as specialist),Pulmonologist,"Shalimar Bagh, Delhi",Delhi,96%,(107 votes),₹800
58,Dr. Ashish Jain,"MD - Tuberculosis and Chest Diseases, MBBS",22 Years Experience Overall  (21 years as specialist),Pulmonologist,"Saket, Delhi",Delhi,91%,(70 votes),₹1200
59,Dr. Prashant Saxena,"MBBS, MD - TB & Chest",22 Years Experience Overall  (18 years as specialist),Pulmonologist,"Saket, Delhi",Delhi,81%,(32 votes),₹1400
60,Dr. M.S. Kanwar,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",48 Years Experience Overall  (43 years as specialist),Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹2000
61,Dr. Raj Kumar,"MD - Tuberculosis and Chest Diseases, MBBS",21 Years Experience Overall  (18 years as specialist),Pulmonologist,"Vasant Kunj, Delhi",Delhi,93%,(40 votes),₹1000
62,Dr. Sandeep Nayar,"MBBS, MD - TB & Chest",31 Years Experience Overall  (25 years as specialist),Pulmonologist,"Pusa Road, Delhi",Delhi,60%,(25 votes),₹1500
63,Dr. Deepak Srivastava,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",35 Years Experience Overall  (32 years as specialist),Pulmonologist,"Kamla Nagar, Delhi",Delhi,0,0,₹500
64,Dr. Vivek Nangia,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",28 Years Experience Overall  (26 years as specialist),Pulmonologist,"Saket, Delhi",Delhi,71%,(24 votes),₹1700
65,Dr. Karn Mehra,"MBBS, DNB - Respiratory Diseases",13 Years Experience Overall  (7 years as specialist),Pulmonologist,"Saket, Delhi",Delhi,100%,(31 votes),₹700
66,Dr. Pawan Gupta,"MBBS, MD - Tuberculosis and Chest Diseases, DM - Pulmonary Medicine",19 Years Experience Overall  (14 years as specialist),Pulmonologist,"Prashant Vihar, Delhi",Delhi,90%,(21 votes),₹700
67,Dr. Puneet Khanna,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",21 Years Experience Overall  (18 years as specialist),Pulmonologist,"Dwarka Sector 6, Delhi",Delhi,97%,(32 votes),₹1100
68,Dr. Chetan Kumar Gupta,"MBBS, MD - Tuberculosis and Chest Diseases",23 Years Experience Overall  (19 years as specialist),Pulmonologist,"Chattarpur, Delhi",Delhi,58%,(19 votes),₹800
69,Dr. Sumedha Narula,"MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine, MBBS",9 Years Experience Overall  (7 years as specialist),Pulmonologist,"Dwarka Sector 12, Delhi",Delhi,100%,(22 votes),₹1000
70,Dr. Praveen Kumar Pandey,"MD - Tuberculosis & Respiratory Diseases/Medicine, MBBS",25 Years Experience Overall  (21 years as specialist),Pulmonologist,"Patparganj, Delhi",Delhi,80%,(15 votes),₹1200
71,Dr. Davinder Kundra,"MBBS, DNB - Pulmonary Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",16 Years Experience Overall  (8 years as specialist),Pulmonologist,"Dwarka Sector 6, Delhi",Delhi,80%,(15 votes),₹1100
72,Dr. Ritu Malani,"MBBS, DNB - Respiratory Diseases",22 Years Experience Overall  (16 years as specialist),Pulmonologist,"Panchsheel Park, Delhi",Delhi,0,0,₹1100
73,Dr. Ajay Lall,"MBBS, MD - Pulmonary Medicine",36 Years Experience Overall,Pulmonologist,"Panchsheel Park, Delhi",Delhi,0,0,₹2000
74,Dr. Deepak Rosha,"MBBS, MD - Medicine, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",30 Years Experience Overall  (28 years as specialist),Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹1500
75,Dr. Susheel Kumar Bindroo,"MBBS, MD - Pulmonary Medicine",18 Years Experience Overall  (17 years as specialist),Pulmonologist,"Dwarka Sector 12, Delhi",Delhi,92%,(13 votes),₹1500
76,Dr. Avi Kumar,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine, DNB - Respiratory Diseases",17 Years Experience Overall  (13 years as specialist),Pulmonologist,"Okhla, Delhi",Delhi,94%,(16 votes),₹1300
77,Dr. Inder Mohan Chugh,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine, DNB - Respiratory Diseases",30 Years Experience Overall  (23 years as specialist),Pulmonologist,"Shalimar Bagh, Delhi",Delhi,0,0,₹2000
78,Dr. Rajesh K Chawla,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",41 Years Experience Overall  (37 years as specialist),Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹2000
79,Dr. Dixit Kumar Thakur,"MBBS, DNB - Pulmonary Medicine",9 Years Experience Overall  (6 years as specialist),Pulmonologist,"Friends Colony West, Delhi",Delhi,100%,(13 votes),₹1000
80,Dr. R.S Chatterjee,"MBBS, MD - General Medicine, DNB - Respiratory Diseases, MD - Tuberculosis & Respiratory Diseases/Medicine",42 Years Experience Overall  (34 years as specialist),Pulmonologist,"Dwarka Sector 12, Delhi",Delhi,0,0,₹1200
81,Dr. Abhinav Bhanot,"MBBS, DNB - Respiratory Diseases",11 Years Experience Overall  (5 years as specialist),Pulmonologist,"Nirman Vihar, Delhi",Delhi,0,0,₹900
82,Dr. Vipin Aggarwal,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",8 Years Experience Overall  (4 years as specialist),Pulmonologist,"Ansari Nagar, Delhi",Delhi,0,0,₹800
83,Dr. Nikhil Modi,"MBBS, MD - Pulmonary Medicine",12 Years Experience Overall,Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹1500
84,Dr. Sanjay Sobti,"MBBS, DNB - Respiratory Diseases, MD - General Medicine",26 Years Experience Overall,Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹2000
85,Dr. Viny Kantroo,"MBBS, DNB - Respiratory Diseases",12 Years Experience Overall  (11 years as specialist),Pulmonologist,"Sarita Vihar, Delhi",Delhi,0,0,₹1500
